battery_pack,hybrid_inverter,status,controller_available,verification_type,verification_date,battery_part_number,battery_revision,inverter_firmware_min,bms_ev_firmware_min,hardware_revision,source,notes
BMW i3 (all sizes) (18/22/40 kWh),GoodWe EH hybrid solar,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe EHB high voltage battery,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe EHB hybrid inverter (South Africa only),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe ES hybrid solar,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe ET hybrid solar,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),GoodWe SBP battery inverter,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Growatt HV Growatt SPH,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Growatt WIT 50-100K-HU,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
